# Time is in days from January 1, 2009
# X and Y are in Finnish UTM km. 
"Time","X","Y","Z"
64.5,3584993.57,7102797.76,3584993.57+7102797.76i
64.6666666666667,3586483.15,7101999.84,3586483.15+7101999.84i
64.8333333333333,3586436.85,7101955.51,3586436.85+7101955.51i
65,3586420.69,7101981.41,3586420.69+7101981.41i
65.1666666666667,3586418.1,7101980,3586418.1+7101980i
65.3333333333333,3586447.3,7101996.94,3586447.3+7101996.94i
65.5,3586211.25,7102261.11,3586211.25+7102261.11i
65.6666666666667,3586161.98,7102321.6,3586161.98+7102321.6i
65.8333333333333,3586164.88,7102301.33,3586164.88+7102301.33i
66,3586456.78,7102227.97,3586456.78+7102227.97i
66.1666666666667,3586456.76,7102213.1,3586456.76+7102213.1i
66.3333333333333,3587544.35,7102394.97,3587544.35+7102394.97i
66.5,3586818.27,7101375.9,3586818.27+7101375.9i
66.6666666666667,3585596.79,7102688.21,3585596.79+7102688.21i
66.8333333333333,3584677.26,7103150.64,3584677.26+7103150.64i
67,3584729.63,7103151.01,3584729.63+7103151.01i
67.1666666666667,3584768.52,7103216.96,3584768.52+7103216.96i
67.3333333333333,3584684.58,7103129.2,3584684.58+7103129.2i
71,3585669.88,7102645.54,3585669.88+7102645.54i
71.1666666666667,3585647.78,7102638.19,3585647.78+7102638.19i
71.3333333333333,3585794.79,7102868.21,3585794.79+7102868.21i
71.5,3585750.11,7102779.07,3585750.11+7102779.07i
71.6666666666667,3585680.41,7102680.58,3585680.41+7102680.58i
71.8333333333333,3585671.52,7102685.1,3585671.52+7102685.1i
72,3585690.98,7102720.53,3585690.98+7102720.53i
73.3333333333333,3585901.77,7102751.46,3585901.77+7102751.46i
73.5,3585789.1,7102736.45,3585789.1+7102736.45i
73.6666666666667,3584372.2,7104097.73,3584372.2+7104097.73i
73.8333333333333,3584359.12,7103891.61,3584359.12+7103891.61i
74,3584344.12,7103904.14,3584344.12+7103904.14i
74.1666666666667,3584312.38,7103930.84,3584312.38+7103930.84i
74.3333333333333,3584069.09,7104209.74,3584069.09+7104209.74i
74.5,3583938.11,7104341.27,3583938.11+7104341.27i
74.6666666666667,3583889.8,7104449.16,3583889.8+7104449.16i
74.8333333333333,3583946.19,7104365.59,3583946.19+7104365.59i
75,3583946.45,7104380.79,3583946.45+7104380.79i
75.1666666666667,3583933.43,7104399.62,3583933.43+7104399.62i
75.3333333333333,3583952.35,7104455.93,3583952.35+7104455.93i
75.5,3583894.23,7104406.21,3583894.23+7104406.21i
75.6666666666667,3583909.48,7104446.59,3583909.48+7104446.59i
75.8333333333333,3583924.44,7104461.4,3583924.44+7104461.4i
76,3583904.66,7104489.42,3583904.66+7104489.42i
76.1666666666667,3583917.58,7104537.39,3583917.58+7104537.39i
76.3333333333333,3583869.03,7104534.09,3583869.03+7104534.09i
76.5,3584518.6,7103950.75,3584518.6+7103950.75i
76.6666666666667,3583643.66,7103716.9,3583643.66+7103716.9i
76.8333333333333,3582837.58,7104017.54,3582837.58+7104017.54i
77,3583113.4,7103923.53,3583113.4+7103923.53i
77.1666666666667,3583087.93,7103759.83,3583087.93+7103759.83i
77.3333333333333,3582860.68,7103943.63,3582860.68+7103943.63i
77.5,3582837.27,7103862.94,3582837.27+7103862.94i
77.6666666666667,3582826.09,7103878.32,3582826.09+7103878.32i
77.8333333333333,3582797.53,7103902.85,3582797.53+7103902.85i
78,3582806.84,7104380.75,3582806.84+7104380.75i
78.1666666666667,3582709.88,7104401.14,3582709.88+7104401.14i
78.3333333333333,3582723.12,7104373.24,3582723.12+7104373.24i
78.5,3582939.39,7105015.22,3582939.39+7105015.22i
78.6666666666667,3582923.51,7105852.53,3582923.51+7105852.53i
78.8333333333333,3582838.47,7105874.8,3582838.47+7105874.8i
79,3582625.62,7105858.51,3582625.62+7105858.51i
79.1666666666667,3582629.26,7105853.82,3582629.26+7105853.82i
79.3333333333333,3582736.11,7105916.01,3582736.11+7105916.01i
79.5,3581069.22,7105600.76,3581069.22+7105600.76i
79.6666666666667,3579069.91,7107009.51,3579069.91+7107009.51i
79.8333333333333,3579073.71,7108049.75,3579073.71+7108049.75i
80,3579080.06,7108073.12,3579080.06+7108073.12i
80.1666666666667,3579058.67,7108079.34,3579058.67+7108079.34i
82.6666666666667,3580675.46,7108054.81,3580675.46+7108054.81i
82.8333333333333,3580394.88,7107834.65,3580394.88+7107834.65i
83,3580408.49,7107833.34,3580408.49+7107833.34i
83.1666666666667,3580406.15,7107846.82,3580406.15+7107846.82i
83.3333333333333,3579921.69,7107938.3,3579921.69+7107938.3i
