"GPS_Main_ID","Collar_ID","Object_ID","PubName","Sex","GMT_date","LMT_date","Longitude","Latitude","Height","Locale_N","Locale_E","Locale_H","DOP","Nav","Sats_used","Validated","Main","Bkup","TEMP","SMS_date","Valid_pos","Db_ID","ID","SubPop","Z","Time"
319615,6411,"rt_fi_09_008","09 (6411) Kainuu. 2009","F         ","2011-05-28 02:00:53","28.5.2011 3:00:53",30.18,64.67,250.03,7178666.9,3652318.69,NA,2.2,"3D",NA,"Yes",3.28,3.44,13,"13.6.2011 1:05:18",2,21,"rt_fi_09_008","East",3652318.69+7178666.9i,"2011-05-28 02:00:53"
319616,6411,"rt_fi_09_008","09 (6411) Kainuu. 2009","F         ","2011-05-28 04:01:54","28.5.2011 5:01:54",30.18,64.67,212.26,7178673.57,3652304.99,NA,2.4,"3D",NA,"Yes",3.28,3.44,10,"13.6.2011 1:05:18",2,21,"rt_fi_09_008","East",3652304.99+7178673.57i,"2011-05-28 04:01:54"
319603,6411,"rt_fi_09_008","09 (6411) Kainuu. 2009","F         ","2011-05-28 06:00:24","28.5.2011 7:00:24",30.18,64.67,244.68,7178685.72,3652188.74,NA,2.6,"3D",NA,"Yes",3.28,3.44,13,"13.6.2011 1:05:05",2,21,"rt_fi_09_008","East",3652188.74+7178685.72i,"2011-05-28 06:00:24"
319604,6411,"rt_fi_09_008","09 (6411) Kainuu. 2009","F         ","2011-05-28 08:00:41","28.5.2011 9:00:41",30.18,64.67,247.77,7178677.87,3652209.19,NA,3.6,"3D",NA,"Yes",3.28,3.44,14,"13.6.2011 1:05:05",2,21,"rt_fi_09_008","East",3652209.19+7178677.87i,"2011-05-28 08:00:41"
319605,6411,"rt_fi_09_008","09 (6411) Kainuu. 2009","F         ","2011-05-28 10:00:16","28.5.2011 11:00:16",30.18,64.67,240.66,7178681.38,3652212.54,NA,2.2,"3D",NA,"Yes",3.28,3.44,15,"13.6.2011 1:05:05",2,21,"rt_fi_09_008","East",3652212.54+7178681.38i,"2011-05-28 10:00:16"
319606,6411,"rt_fi_09_008","09 (6411) Kainuu. 2009","F         ","2011-05-28 12:00:53","28.5.2011 13:00:53",30.18,64.67,229.3,7178655.22,3652238.17,NA,4.4,"3D",NA,"Yes",3.28,3.44,17,"13.6.2011 1:05:05",2,21,"rt_fi_09_008","East",3652238.17+7178655.22i,"2011-05-28 12:00:53"
319607,6411,"rt_fi_09_008","09 (6411) Kainuu. 2009","F         ","2011-05-28 14:00:42","28.5.2011 15:00:42",30.18,64.67,250.25,7178785.71,3652269.83,NA,1.8,"3D",NA,"Yes",3.28,3.44,19,"13.6.2011 1:05:05",2,21,"rt_fi_09_008","East",3652269.83+7178785.71i,"2011-05-28 14:00:42"
319608,6411,"rt_fi_09_008","09 (6411) Kainuu. 2009","F         ","2011-05-28 16:00:54","28.5.2011 17:00:54",30.18,64.67,252.62,7178788.15,3652278.28,NA,2.6,"3D",NA,"Yes",3.28,3.44,15,"13.6.2011 1:05:05",2,21,"rt_fi_09_008","East",3652278.28+7178788.15i,"2011-05-28 16:00:54"
319609,6411,"rt_fi_09_008","09 (6411) Kainuu. 2009","F         ","2011-05-28 18:00:47","28.5.2011 19:00:47",30.18,64.67,237.77,7178772.73,3652278.13,NA,2.8,"3D",NA,"Yes",3.28,3.44,15,"13.6.2011 1:05:05",2,21,"rt_fi_09_008","East",3652278.13+7178772.73i,"2011-05-28 18:00:47"
319596,6411,"rt_fi_09_008","09 (6411) Kainuu. 2009","F         ","2011-05-28 20:00:53","28.5.2011 21:00:53",30.18,64.67,241.44,7178778.94,3652276.73,NA,2,"3D",NA,"Yes",3.28,3.52,12,"13.6.2011 1:04:53",2,21,"rt_fi_09_008","East",3652276.73+7178778.94i,"2011-05-28 20:00:53"
319597,6411,"rt_fi_09_008","09 (6411) Kainuu. 2009","F         ","2011-05-28 22:00:49","28.5.2011 23:00:49",30.18,64.67,251.36,7178834.66,3652172.58,NA,3.4,"3D",NA,"Yes",3.28,3.44,14,"13.6.2011 1:04:53",2,21,"rt_fi_09_008","East",3652172.58+7178834.66i,"2011-05-28 22:00:49"
319598,6411,"rt_fi_09_008","09 (6411) Kainuu. 2009","F         ","2011-05-29 00:00:23","29.5.2011 1:00:23",30.18,64.67,245.93,7178807.43,3652194.02,NA,2,"3D",NA,"Yes",3.28,3.44,11,"13.6.2011 1:04:53",2,21,"rt_fi_09_008","East",3652194.02+7178807.43i,"2011-05-29 00:00:23"
319599,6411,"rt_fi_09_008","09 (6411) Kainuu. 2009","F         ","2011-05-29 02:00:56","29.5.2011 3:00:56",30.18,64.67,248.87,7178811.39,3652163.53,NA,3.2,"3D",NA,"Yes",3.28,3.44,13,"13.6.2011 1:04:53",2,21,"rt_fi_09_008","East",3652163.53+7178811.39i,"2011-05-29 02:00:56"
319600,6411,"rt_fi_09_008","09 (6411) Kainuu. 2009","F         ","2011-05-29 04:00:47","29.5.2011 5:00:47",30.18,64.67,272.37,7178785.05,3652256.25,NA,2.2,"3D",NA,"Yes",3.28,3.44,17,"13.6.2011 1:04:53",2,21,"rt_fi_09_008","East",3652256.25+7178785.05i,"2011-05-29 04:00:47"
319601,6411,"rt_fi_09_008","09 (6411) Kainuu. 2009","F         ","2011-05-29 06:00:21","29.5.2011 7:00:21",30.18,64.67,251.27,7178793.72,3652239.42,NA,2.2,"3D",NA,"Yes",3.28,3.44,17,"13.6.2011 1:04:53",2,21,"rt_fi_09_008","East",3652239.42+7178793.72i,"2011-05-29 06:00:21"
319602,6411,"rt_fi_09_008","09 (6411) Kainuu. 2009","F         ","2011-05-29 08:01:24","29.5.2011 9:01:24",30.18,64.67,253.71,7178707.22,3652344.37,NA,2.6,"3D",NA,"Yes",3.28,3.44,19,"13.6.2011 1:04:53",2,21,"rt_fi_09_008","East",3652344.37+7178707.22i,"2011-05-29 08:01:24"
319589,6411,"rt_fi_09_008","09 (6411) Kainuu. 2009","F         ","2011-05-29 10:00:41","29.5.2011 11:00:41",30.18,64.67,243.61,7178678.9,3652333.71,NA,2.2,"3D",NA,"Yes",3.28,3.44,19,"13.6.2011 1:04:38",2,21,"rt_fi_09_008","East",3652333.71+7178678.9i,"2011-05-29 10:00:41"
319099,6411,"rt_fi_09_008","09 (6411) Kainuu. 2009","F         ","2011-05-29 12:00:48","29.5.2011 13:00:48",30.18,64.67,237.37,7178707.92,3652368.98,NA,2.6,"3D",NA,"Yes",3.28,3.44,21,"12.6.2011 13:06:23",2,21,"rt_fi_09_008","East",3652368.98+7178707.92i,"2011-05-29 12:00:48"
319100,6411,"rt_fi_09_008","09 (6411) Kainuu. 2009","F         ","2011-05-29 14:00:23","29.5.2011 15:00:23",30.18,64.67,231.59,7178770.17,3652385.68,NA,2.6,"3D",NA,"Yes",3.28,3.44,22,"12.6.2011 13:06:23",2,21,"rt_fi_09_008","East",3652385.68+7178770.17i,"2011-05-29 14:00:23"
319101,6411,"rt_fi_09_008","09 (6411) Kainuu. 2009","F         ","2011-05-29 16:01:17","29.5.2011 17:01:17",30.18,64.67,255.18,7178737.81,3652408.98,NA,3,"3D",NA,"Yes",3.28,3.44,18,"12.6.2011 13:06:23",2,21,"rt_fi_09_008","East",3652408.98+7178737.81i,"2011-05-29 16:01:17"
319102,6411,"rt_fi_09_008","09 (6411) Kainuu. 2009","F         ","2011-05-29 18:02:10","29.5.2011 19:02:10",30.18,64.67,253.05,7178709.93,3652416.9,NA,4,"3D",NA,"Yes",3.28,3.44,14,"12.6.2011 13:06:23",2,21,"rt_fi_09_008","East",3652416.9+7178709.93i,"2011-05-29 18:02:10"
319103,6411,"rt_fi_09_008","09 (6411) Kainuu. 2009","F         ","2011-05-29 20:01:02","29.5.2011 21:01:02",30.18,64.67,257.5,7178731.88,3652388.74,NA,2.4,"3D",NA,"Yes",3.28,3.44,13,"12.6.2011 13:06:23",2,21,"rt_fi_09_008","East",3652388.74+7178731.88i,"2011-05-29 20:01:02"
319104,6411,"rt_fi_09_008","09 (6411) Kainuu. 2009","F         ","2011-05-29 22:02:02","29.5.2011 23:02:02",30.18,64.67,246.87,7178685.69,3652419.59,NA,16,"3D",NA,"No",3.28,3.44,13,"12.6.2011 13:06:23",2,21,"rt_fi_09_008","East",3652419.59+7178685.69i,"2011-05-29 22:02:02"
319105,6411,"rt_fi_09_008","09 (6411) Kainuu. 2009","F         ","2011-05-30 00:00:42","30.5.2011 1:00:42",30.18,64.67,237.35,7178683.45,3652253.81,NA,2.2,"3D",NA,"Yes",3.28,3.44,12,"12.6.2011 13:06:23",2,21,"rt_fi_09_008","East",3652253.81+7178683.45i,"2011-05-30 00:00:42"
319092,6411,"rt_fi_09_008","09 (6411) Kainuu. 2009","F         ","2011-05-30 02:01:11","30.5.2011 3:01:11",30.18,64.67,235.49,7178652,3652248.72,NA,8,"3D",NA,"Yes",3.28,3.44,12,"12.6.2011 13:06:06",2,21,"rt_fi_09_008","East",3652248.72+7178652i,"2011-05-30 02:01:11"
319093,6411,"rt_fi_09_008","09 (6411) Kainuu. 2009","F         ","2011-05-30 04:00:42","30.5.2011 5:00:42",30.18,64.67,234.44,7178698.21,3652238.77,NA,3,"3D",NA,"Yes",3.28,3.44,14,"12.6.2011 13:06:06",2,21,"rt_fi_09_008","East",3652238.77+7178698.21i,"2011-05-30 04:00:42"
319094,6411,"rt_fi_09_008","09 (6411) Kainuu. 2009","F         ","2011-05-30 06:00:43","30.5.2011 7:00:43",30.18,64.67,248.92,7178678.9,3652184.55,NA,1.6,"3D",NA,"Yes",3.28,3.44,16,"12.6.2011 13:06:06",2,21,"rt_fi_09_008","East",3652184.55+7178678.9i,"2011-05-30 06:00:43"
319095,6411,"rt_fi_09_008","09 (6411) Kainuu. 2009","F         ","2011-05-30 08:00:50","30.5.2011 9:00:50",30.17,64.67,247.68,7178717.62,3651971.39,NA,1.4,"3D",NA,"Yes",3.28,3.44,22,"12.6.2011 13:06:06",2,21,"rt_fi_09_008","East",3651971.39+7178717.62i,"2011-05-30 08:00:50"
319096,6411,"rt_fi_09_008","09 (6411) Kainuu. 2009","F         ","2011-05-30 10:00:15","30.5.2011 11:00:15",30.18,64.67,243.33,7178784.74,3652052.07,NA,2.6,"3D",NA,"Yes",3.36,3.44,23,"12.6.2011 13:06:06",2,21,"rt_fi_09_008","East",3652052.07+7178784.74i,"2011-05-30 10:00:15"
319097,6411,"rt_fi_09_008","09 (6411) Kainuu. 2009","F         ","2011-05-30 12:00:47","30.5.2011 13:00:47",30.17,64.67,239.82,7178944.91,3651923.94,NA,2,"3D",NA,"Yes",3.28,3.44,25,"12.6.2011 13:06:06",2,21,"rt_fi_09_008","East",3651923.94+7178944.91i,"2011-05-30 12:00:47"
319098,6411,"rt_fi_09_008","09 (6411) Kainuu. 2009","F         ","2011-05-30 14:00:48","30.5.2011 15:00:48",30.18,64.67,233.66,7178950.31,3652004.7,NA,2.4,"3D",NA,"Yes",3.28,3.44,21,"12.6.2011 13:06:06",2,21,"rt_fi_09_008","East",3652004.7+7178950.31i,"2011-05-30 14:00:48"
315893,6411,"rt_fi_09_008","09 (6411) Kainuu. 2009","F         ","2011-05-30 16:00:26","30.5.2011 17:00:26",30.17,64.67,249.42,7179089.13,3651890.22,NA,3,"3D",NA,"Yes",3.28,3.52,21,"7.6.2011 21:05:57",2,21,"rt_fi_09_008","East",3651890.22+7179089.13i,"2011-05-30 16:00:26"
315894,6411,"rt_fi_09_008","09 (6411) Kainuu. 2009","F         ","2011-05-30 18:00:54","30.5.2011 19:00:54",30.18,64.67,225.67,7178857.91,3652159.11,NA,3.6,"3D",NA,"Yes",3.28,3.52,16,"7.6.2011 21:05:57",2,21,"rt_fi_09_008","East",3652159.11+7178857.91i,"2011-05-30 18:00:54"
315895,6411,"rt_fi_09_008","09 (6411) Kainuu. 2009","F         ","2011-05-30 20:00:54","30.5.2011 21:00:54",30.18,64.67,241.74,7178879.81,3652060.38,NA,1.6,"3D",NA,"Yes",3.28,3.44,12,"7.6.2011 21:05:57",2,21,"rt_fi_09_008","East",3652060.38+7178879.81i,"2011-05-30 20:00:54"
315896,6411,"rt_fi_09_008","09 (6411) Kainuu. 2009","F         ","2011-05-30 22:00:53","30.5.2011 23:00:53",30.18,64.67,251.33,7178857.85,3652073.84,NA,2.2,"3D",NA,"Yes",3.28,3.44,10,"7.6.2011 21:05:57",2,21,"rt_fi_09_008","East",3652073.84+7178857.85i,"2011-05-30 22:00:53"
315897,6411,"rt_fi_09_008","09 (6411) Kainuu. 2009","F         ","2011-05-31 00:00:14","31.5.2011 1:00:14",30.18,64.67,234.83,7178831.08,3652057.54,NA,7.8,"3D",NA,"Yes",3.28,3.44,9,"7.6.2011 21:05:57",2,21,"rt_fi_09_008","East",3652057.54+7178831.08i,"2011-05-31 00:00:14"
315898,6411,"rt_fi_09_008","09 (6411) Kainuu. 2009","F         ","2011-05-31 02:00:55","31.5.2011 3:00:55",30.17,64.67,243.41,7178608.22,3651896.92,NA,4.2,"3D",NA,"Yes",3.28,3.44,13,"7.6.2011 21:05:57",2,21,"rt_fi_09_008","East",3651896.92+7178608.22i,"2011-05-31 02:00:55"
315899,6411,"rt_fi_09_008","09 (6411) Kainuu. 2009","F         ","2011-05-31 04:00:53","31.5.2011 5:00:53",30.17,64.67,237.77,7178514.99,3651620.33,NA,2,"3D",NA,"Yes",3.28,3.44,17,"7.6.2011 21:05:57",2,21,"rt_fi_09_008","East",3651620.33+7178514.99i,"2011-05-31 04:00:53"
315886,6411,"rt_fi_09_008","09 (6411) Kainuu. 2009","F         ","2011-05-31 06:00:41","31.5.2011 7:00:41",30.17,64.66,253.52,7178440.08,3651631.47,NA,2,"3D",NA,"Yes",3.28,3.44,22,"7.6.2011 21:05:41",2,21,"rt_fi_09_008","East",3651631.47+7178440.08i,"2011-05-31 06:00:41"
315887,6411,"rt_fi_09_008","09 (6411) Kainuu. 2009","F         ","2011-05-31 08:00:16","31.5.2011 9:00:16",30.17,64.67,240.06,7178539.26,3651547.49,NA,3.2,"3D",NA,"Yes",3.36,3.44,27,"7.6.2011 21:05:41",2,21,"rt_fi_09_008","East",3651547.49+7178539.26i,"2011-05-31 08:00:16"
315888,6411,"rt_fi_09_008","09 (6411) Kainuu. 2009","F         ","2011-05-31 10:00:25","31.5.2011 11:00:25",30.17,64.67,239.84,7178529.57,3651531.77,NA,3,"3D",NA,"Yes",3.36,3.52,32,"7.6.2011 21:05:41",2,21,"rt_fi_09_008","East",3651531.77+7178529.57i,"2011-05-31 10:00:25"
315889,6411,"rt_fi_09_008","09 (6411) Kainuu. 2009","F         ","2011-05-31 12:00:42","31.5.2011 13:00:42",30.17,64.66,239.4,7178471.42,3651660.71,NA,2,"3D",NA,"Yes",3.36,3.52,29,"7.6.2011 21:05:41",2,21,"rt_fi_09_008","East",3651660.71+7178471.42i,"2011-05-31 12:00:42"
315890,6411,"rt_fi_09_008","09 (6411) Kainuu. 2009","F         ","2011-05-31 14:00:44","31.5.2011 15:00:44",30.17,64.67,247.48,7178480.87,3651676.66,NA,4,"3D",NA,"Yes",3.36,3.52,31,"7.6.2011 21:05:41",2,21,"rt_fi_09_008","East",3651676.66+7178480.87i,"2011-05-31 14:00:44"
315891,6411,"rt_fi_09_008","09 (6411) Kainuu. 2009","F         ","2011-05-31 16:00:41","31.5.2011 17:00:41",30.17,64.67,244.47,7178512.19,3651520.34,NA,1.6,"3D",NA,"Yes",3.36,3.52,26,"7.6.2011 21:05:41",2,21,"rt_fi_09_008","East",3651520.34+7178512.19i,"2011-05-31 16:00:41"
315892,6411,"rt_fi_09_008","09 (6411) Kainuu. 2009","F         ","2011-05-31 18:00:27","31.5.2011 19:00:27",30.17,64.66,243.24,7178428.21,3651661.2,NA,5.4,"3D",NA,"Yes",3.36,3.52,20,"7.6.2011 21:05:41",2,21,"rt_fi_09_008","East",3651661.2+7178428.21i,"2011-05-31 18:00:27"
315879,6411,"rt_fi_09_008","09 (6411) Kainuu. 2009","F         ","2011-05-31 20:00:55","31.5.2011 21:00:55",30.17,64.66,254.99,7178395.79,3651603.83,NA,2.6,"3D",NA,"Yes",3.28,3.52,20,"7.6.2011 21:05:29",2,21,"rt_fi_09_008","East",3651603.83+7178395.79i,"2011-05-31 20:00:55"
315880,6411,"rt_fi_09_008","09 (6411) Kainuu. 2009","F         ","2011-05-31 22:00:54","31.5.2011 23:00:54",30.17,64.67,244.12,7178473.86,3651675.36,NA,3,"3D",NA,"Yes",3.28,3.52,17,"7.6.2011 21:05:29",2,21,"rt_fi_09_008","East",3651675.36+7178473.86i,"2011-05-31 22:00:54"
