TAG,DATETIME,X,Y,D,LAT,LON,HPE,HPEm,TEMP,DEPTH,ACCEL,DRX
T28, 2010-05-02 21:40:00, 4971.60, 5230.91,  5.000,   45.495379,  -84.073771,   2.6,        ,        ,        ,        , R06 R07 R08 R12 R13 R14 R15 R16 R17 R18 R19 R20 R21 R25 R26 R27 R28 R29 R30 R32 R33 R34 R35 R37 R38 R39
T28, 2010-05-02 21:40:21, 4971.39, 5230.72,  5.055,   45.495377,  -84.073774,   2.6,        ,        ,  5.0552,        , R04 R06 R07 R08 R12 R13 R14 R15 R16 R17 R18 R20 R21 R25 R26 R27 R28 R29 R30 R32 R33 R34 R35 R38 R39
T28, 2010-05-02 21:40:45, 4971.45, 5230.86,  5.000,   45.495378,  -84.073773,   2.6,        ,        ,        ,        , R06 R07 R08 R12 R13 R14 R16 R17 R18 R20 R21 R25 R26 R27 R28 R29 R32 R33 R34 R35 R38 R39
T28, 2010-05-02 21:41:15, 4971.36, 5230.77,  5.055,   45.495377,  -84.073774,   2.6,        ,        ,  5.0552,        , R06 R07 R08 R12 R13 R14 R15 R16 R17 R18 R19 R21 R25 R26 R27 R28 R29 R30 R32 R33 R34 R35 R38 R39
T28, 2010-05-02 21:41:54, 4967.37, 5232.42,  5.000,   45.495392,  -84.073825,   3.1,        ,        ,        ,        , R06 R07 R08 R12 R13 R14 R15 R16 R17 R18 R26 R27 R28 R29 R32 R33
T28, 2010-05-02 21:42:24, 4971.26, 5231.00,  5.055,   45.495379,  -84.073776,   2.6,        ,        ,  5.0552,        , R07 R08 R12 R13 R14 R15 R16 R17 R19 R21 R25 R26 R27 R28 R29 R30 R32 R33 R34 R35 R38 R39
T28, 2010-05-02 21:43:04, 4970.83, 5231.13,  5.000,   45.495381,  -84.073781,   3.3,        ,        ,        ,        , R04 R06 R07 R13 R16 R17 R18 R20 R25 R26 R30 R34 R35 R39
T28, 2010-05-02 21:43:37, 4971.48, 5230.73,  5.055,   45.495377,  -84.073773,   2.6,        ,        ,  5.0552,        , R06 R07 R08 R14 R16 R17 R18 R25 R26 R27 R28 R29 R30 R32 R33 R34 R35 R37 R38 R39
T28, 2010-05-02 21:44:21, 4969.83, 5232.08,  5.000,   45.495389,  -84.073794,  19.4,        ,        ,        ,        , R06 R07 R08 R09 R13 R14 R15 R16 R17 R18 R25 R26
T28, 2010-05-02 21:45:02, 4971.67, 5231.19,  5.055,   45.495381,  -84.073770,   2.7,        ,        ,  5.0552,        , R06 R08 R13 R14 R15 R16 R18 R19 R20 R24 R25 R27 R30 R32 R33 R34 R35
